"TOA5","23537","CR1000X","23537","CR1000X.Std.05.01","CPU:9958303_PGIA_11_03_2022.cr1x","57965","T_5min1"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","Rain_mm_Tot","WS_knot","WD_deg","WS_knot_Max","WS_knot_TMx","WS_knot_Min","WS_knot_TMn","WS_knot_Avg","WS_knot_S_WVT","WD_deg_D1_WVT","WD_deg_SD1_WVT","Slr_Wms","AirT_C","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","RH_10m","BP_mbar","RH_10m_Max","RH_10m_TMx","RH_10m_Min","RH_10m_TMn"
"TS","RN","Volts","Volts","mm","knots","degrees","knots","knots","knots","knots","knots","knots","Deg","Deg","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","%","mbar","%","%","%","%"
"","","Min","TMn","Tot","Smp","Smp","Max","TMx","Min","TMn","Avg","WVc","WVc","WVc","Smp","Smp","Max","TMx","Min","TMn","Smp","Smp","Max","TMx","Min","TMn"
"2023-02-06 00:10:00",91990,13,"2023-02-06 00:09:40",0,0.603,319.5,0.816,"2023-02-06 00:07:20",0.253,"2023-02-06 00:08:30",0.436,0.436,322.7,19.45,0,18.45,18.58,"2023-02-06 00:05:10",18.45,"2023-02-06 00:10:00",0.931,1018,0.949,"2023-02-06 00:08:20",0.928,"2023-02-06 00:07:50"
"2023-02-06 00:15:00",91991,13,"2023-02-06 00:11:00",0,1.05,290.8,4.782,"2023-02-06 00:14:20",0.544,"2023-02-06 00:10:20",0.958,0.958,321.4,13.22,0,18.37,18.45,"2023-02-06 00:10:10",18.37,"2023-02-06 00:15:00",0.934,1018,0.935,"2023-02-06 00:12:00",0.929,"2023-02-06 00:10:50"
"2023-02-06 00:20:00",91992,13,"2023-02-06 00:15:10",0,0.933,313.9,1.341,"2023-02-06 00:19:50",0.369,"2023-02-06 00:17:00",0.837,0.837,290.5,14.19,0,18.29,18.38,"2023-02-06 00:15:20",18.29,"2023-02-06 00:20:00",0.945,1018,0.946,"2023-02-06 00:18:00",0.931,"2023-02-06 00:15:40"
"2023-02-06 00:25:00",91993,13,"2023-02-06 00:22:10",0,1.594,308.1,2.294,"2023-02-06 00:24:20",1.205,"2023-02-06 00:21:10",1.681,1.681,304.2,6.568,0,18.31,18.31,"2023-02-06 00:25:00",18.26,"2023-02-06 00:21:30",0.938,1018,0.945,"2023-02-06 00:20:20",0.934,"2023-02-06 00:24:20"
"2023-02-06 00:30:00",91994,12.99,"2023-02-06 00:29:20",0,1.283,302.9,1.905,"2023-02-06 00:25:10",0.68,"2023-02-06 00:28:10",1.263,1.263,307,12.03,0,18.27,18.32,"2023-02-06 00:26:10",18.27,"2023-02-06 00:30:00",0.943,1018,0.943,"2023-02-06 00:26:50",0.937,"2023-02-06 00:25:30"
"2023-02-06 00:35:00",91995,12.99,"2023-02-06 00:30:40",0,1.4,317.5,2.197,"2023-02-06 00:32:10",0.855,"2023-02-06 00:33:20",1.418,1.418,302.4,9.54,0,18.2,18.27,"2023-02-06 00:30:20",18.2,"2023-02-06 00:35:00",0.941,1018,0.945,"2023-02-06 00:30:30",0.93,"2023-02-06 00:32:10"
"2023-02-06 00:40:00",91996,12.99,"2023-02-06 00:39:40",0,1.263,312.3,1.672,"2023-02-06 00:36:20",1.05,"2023-02-06 00:38:50",1.364,1.364,315.7,11.62,0,18.26,18.27,"2023-02-06 00:38:30",18.19,"2023-02-06 00:35:30",0.941,1018,0.943,"2023-02-06 00:39:40",0.932,"2023-02-06 00:36:00"
"2023-02-06 00:45:00",91997,12.99,"2023-02-06 00:40:20",0,1.555,300.7,1.672,"2023-02-06 00:44:40",1.011,"2023-02-06 00:40:10",1.269,1.269,316.6,12.04,0,18.31,18.31,"2023-02-06 00:45:00",18.27,"2023-02-06 00:40:40",0.94,1018,0.942,"2023-02-06 00:40:10",0.937,"2023-02-06 00:44:50"
